NAME,SCORE,LEVEL,EFF,ROCKS,HEALTH,PASS,Name,Level
,,,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
,0,,,,,,Funpop,1
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
Funpop,0,1,,,,,,
